Band	Timecode	Sprecher	Transkript	Übersetzung	Hauptüberschrift	Zwischenüberschrift	Hauptüberschrift (Übersetzung)	Zwischenüberschrift (Übersetzung)	Registerverknüpfungen	Anmerkungen	Anmerkungen (Übersetzung)
1	00:08:24.00	HH	Ja dann war ich jetzt 15 Jahre bei Krupp als Einkäufer, und seit einem Jahr bin ich jetzt pensioniert.								
1	00:08:31.00	HH	Ja, das war so in groben Zügen so der Lauf, mein Lebenslauf.								
1	00:08:35.00	IV	Ja …								
1	00:08:37.00	IV	Sie haben wohl wahrscheinlich auch am meisten, so wie ich das jetzt verstanden habe, sehr stark auch an diesem Journalisten-Beruf gehangen?								
1	00:08:44.00	HH	Ja … ja, ja das habe ich auch über 20 Jahre gemacht.								
1	00:08:49.00	IV	Mm.								
1	00:08:51.00	HH	Ich war kein Schriftleiter, weil ich kein Parteigenosse war								
1	00:08:55.00	IV	Ach so								
1	00:08:55.00	HH	Das durften Sie nicht werden, ich brauchte nur unterschreiben, wär ich´s geworden, soweit wir (Pressestelle gehabt ?), nicht.								
1	00:09:02.00	IV	Mm.								
1	00:09:05.00	IV	Äh, vorher waren Sie bei der … bei der Union, nicht bei Wolf, hmm?								
1	00:09:08.00	HH	Bei Union, Telegrafenunion.								
1	00:09:09.00	IV	Das war die Hugenberg, äh …								
1	00:09:11.00	HH	Ja das war so…								
1	00:09:12.00	IV	Stahlkonzern, glaub war das, ne?								
1	00:09:14.00	HH	Ja, das war so deutschnational, nicht.								
1	00:09:16.00	HH	Das war ja so …								
1	00:09:17.00	HH	Früher waren die Nachrichtendienste ja privat.								
1	00:09:19.00	IV	Mm.								
1	00:09:20.00	HH	Erst der Adolf hat ja nun da, äh, die Geschichte staatlich gemacht.								
1	00:09:25.00	IV	Ist die DPA eigentlich auch staatlich, oder privat?								
1	00:09:29.00	HH	DPA ist nicht staatlich, ich glaube es wenigstens nicht.		Wohnort, Nachbarschaft, Gewerbe, Verrauscht 3				87580908#87580929#87580937		
1	00:09:34.00	HH	Die DPA, die auch der Doktor Böcks, den man auch so angegriffen hatte, der angeblich ja Spionage getrieben haben soll...								
1	00:09:43.00	IV	Ach ja, richtig.								
1	00:09:45.00	HH	Zum DPA konnte ich auch gehen, damals, nach dem Kriege.								
1	00:09:49.00	HH	Vielleicht wäre es besser gewesen, ich hätte es gemacht, ich weiß es nicht.								
1	00:09:52.00	HH	Hinterher sagt man manches, das ist besser oder nicht.								
1	00:09:54.00	HH	Aber ich hab damals kategorisch gesagt:								
1	00:09:55.00	HH	Nein [betont], ich mach keinen Nachrichtendienst mehr.								
1	00:10:00.00	IV	Ja, wenn es Ihnen recht ist, würde ich jetzt gerne so …								
1	00:10:04.00	HH	Ja, machen Sie (???) können Sie ja nachher alles noch wegschneiden. [lacht]								
1	00:10:07.00	IV	Na ja, also weggeschnittenen wird von uns, von uns aus nichts, weil nachher ist in drei Jahren was wichtig, was wir jetzt noch nicht wissen.								
1	00:10:15.00	IV	Sind drei Jahre, das kann noch werden... .								
1	00:10:19.00	IV	Ähm, in was für ner Gegend sind Sie aufgewachsen?								
1	00:10:25.00	HH	Ja ich habe 21 Jahre in Holsterhausen gewohnt, also Essen-Holsterhausen, das gehört hier mit zu Essen West.								
1	00:10:33.00	HH	Da oben hier, Lehmerstraße gewohnt, das ist ja, wenn Sie Gemarkenstraße kennen; Gemarkenstraße, kommt die Lehmerstrasse …								
1	00:10:39.00	HH	kennen Sie nicht?								
1	00:10:40.00	HH	Oben die Kaulbachhöhe, bis, (???)-stadion kennen Sie doch?								
1	00:10:44.00	IV	Ja.								
1	00:10:45.00	HH	Das (Kantian- ?) Stadion geht hier so die Kaulbachstraße hoch und dann geht die Abzweig Lehmerstraße,								
1	00:10:51.00	IV	Ach da in der Gegend								
1	00:10:52.00	HH	Also vom Stammhaus aus gesehen.								
1	00:10:53.00	HH	Da bin ich groß geworden.								
1	00:10:55.00	HH	Wie gesagt, 21 Jahre habe ich da gewohnt, mit meinen Eltern.								
1	00:11:00.00	HH	Mein Vater wurde hier in Altenessen versetzt, der war ja von Zeche Helene.								
1	00:11:04.00	IV	Der war Bergmann?								
1	00:11:05.00	HH	Bitte?		Wohnen, Wohnort, Nachbarschaft, Genussmittel				87580898#87580908#87580924		
1	00:11:06.00	HH	Ja, der war Fördermaschinist.								
1	00:11:08.00	HH	Und da haben wir hier praktisch Luftlinie 100 m weiter gewohnt, während des Krieges, ja, sagen mal bis …								
1	00:11:17.00	HH	wir sind dann drei, viermal ausgebombt worden, meine Eltern sind dann während des Krieges...								
1	00:11:22.00	HH	In den letzten Kriegsjahren haben wir wieder in Essen West gewohnt, in der Breslauer Straße, also in Frohnhausen direkt.								
1	00:11:26.00	IV	Mm.								
1	00:11:28.00	HH	und dann, als ich '45 wiederkam, dann kriegten wir hier, unten an an der Bruckmannstraße, ich weiß nicht, ob Sie die kennen, (Stauder ?) da oben ist.								
1	00:11:38.00	IV	Ne (???).								
1	00:11:40.00	HH	ja, da kriegten wir eine zweiräumige Wohnung, d.h. ich kriegte vorher so zig Wohnungen zugewiesen von ehemaligen SS Leuten, Nazis, die hat man dann meistens wieder fertig gemacht dann kamen die Leute zurück, die kannten wir ja meistens alle, da konnten wir ja nicht sagen, jetzt bleiben wir drin wohnen.								
1	00:11:57.00	HH	Wir haben in einer Wohnung eine Nacht gewohnt.								
1	00:11:58.00	IV	Och, ts ts!								
1	00:12:00.00	HH	Und hatten die wirklich auf Vordermann gebracht.								
1	00:12:02.00	IV	Ja, und dann sind die zurückgekommen.								
1	00:12:03.00	HH	Kamen die zurück, meistens mit Kindern usw., sind wir wieder ausgezogen.								
1	00:12:06.00	HH	Bis wir dann da ne Wohnung kriegten …								
1	00:12:11.00	HH	Tja, und da sind wir, haben wir auch bald 20 Jahre gewohnt.								
1	00:12:14.00	HH	Wir wohnen jetzt hier 14 Jahre.								
1	00:12:17.00	IV	Mm.								
1	00:12:19.00	HH	Und dann dadurch, mit Fronhausen bin ich, sagen wir mal insofern immer in Verbindung geblieben, ich bin ja da in dem Männerchor drin, mein Vater hat den noch mit gegründet …								
1	00:12:26.00	IV	Ach?								
1	00:12:27.00	HH	… 1926.								
1	00:12:29.00	HH	Ich bin auch seit dem Krieg schon da drin.								
1	00:12:31.00	HH	Kenn das noch, als kleiner Junge bin ich ja schon mitgelaufen.								
1	00:12:33.00	IV	Mm.								
1	00:12:34.00	IV	Und Ihre Eltern, Ihr Vater war also Bergmann, kamen die aus Essen oder waren die zugewandert?								
1	00:12:41.00	HH	Nein, mein Vater war, äh, dass die Voreltern, die Vorfahren von meinen, väterlicherseits, die kamen aus dem Salzburgischen damals die Religionskriege, die wurden ja vertrieben, der Friedrich der Große hat die ja (???) da um Ostpreußen angesiedelt.		Familie, Kirche, Religion, Ernährung				87580893#87580920#87580897		
1	00:12:57.00	HH	Mein Vater kam von Ostpreußen herunter mit seinen Brüdern, die haben dann alle hier Arbeit gefunden, und meine Mutter ist in Essen geboren, ja.								
1	00:13:09.00	IV	War die berufstätig?								
1	00:13:10.00	HH	Meine Mutter, ja, seitdem sie verheiratet war, nicht.								
1	00:13:13.00	HH	Meine Mutter war früher eine Köchin, die hat gekocht, da in so, äh, Pastorenhaushalten.								
1	00:13:20.00	IV	So Haushälterin oder Köchin.								
1	00:13:23.00	HH	Ja das waren die, die war ja meist bei evangelischen Pastoren, die hatten schon ihre Familie, früher war‘s ja so, waren die Pastoren ja meistens reich, nicht, ist ja nicht so, äh, wenn einer Pastor werden wollte, er musste sich ja selber finanzieren, zum großen Teil.								
1	00:13:37.00	IV	Mm.								
1	00:13:38.00	HH	Der kriegte ja nicht viel, und die kommen, lebten meist gar nicht schlecht so, wie ich das gehört hab.								
1	00:13:44.00	IV	Ich weiß nur von den Lehrern, dass die früher ganz (???)								
1	00:13:47.00	HH	Ja, ja, die Lehrer, (???) aber das ganze Beamtentum an.								
1	00:13:54.00	IV	Und, äh, er gehörte denn in Ihrer Kindheit zur Familie?								
1	00:14:00.00	HH	Ja wir hatten, äh, vier Geschwister waren wir, zwei Jungs, zwei Mädchen.								
1	00:14:08.00	HH	Meine Schwester war, ist dreieinhalb Jahre älter als ich und die anderen …								
1	00:14:11.00	IV	Sie sind 1915 geboren, oder?								
1	00:14:13.00	HH	Ich bin '16 geboren.								
1	00:14:16.00	HH	Meine Schwester ist '13 geboren, dann der nächste, mein Bruder, ist sechs Jahre jünger als ich, und dann die Schwester, die ist nochmal sechs Jahre jünger, ist zwölf Jahre jünger als ich.								
1	00:14:26.00	HH	Mein Bruder, der ist vermisst, weiß man nicht, wo er steckt, und meine Schwestern, die leben doch noch.								
1	00:14:33.00	IV	Mm.								
1	00:14:34.00	IV	Und Großeltern oder, äh, Verwandte gehörten damals nicht, gehörten nicht zur Ihrer Familie?								
1	00:14:40.00	HH	Ja, mein Großvater mütterlicherseits lebte noch bei uns, der wurde, der wohnte bei uns in der Wohnung mit, der wurde auch 83 Jahre alt.								
1	00:14:53.00	HH	Hat sich hoffentlich vererbt, mein Vater ist 91 geworden, der ist vor zwei Jahren gestorben, meine Mutter ist auch 86 geworden.								
1	00:15:04.00	HH	Will ich hoffen, dass ich auch noch einige Jahre lebe. [lacht]								
1	00:15:07.00	IV	(Haben Sie noch 30 Jahre ?)								
1	00:15:09.00	HH	Ja das war, das Familienleben war ja viel, äh, sagen wir mal, der Familienzusammenhalt war ja viel größer früher als heutzutage.								
1	00:15:18.00	IV	Ja.		Ernährung, Verrauscht 4, Zeiten, Daten				87580897#87580938#87580905		
1	00:15:18.00	IV	Das interessiert mich sehr, hm.								
1	00:15:20.00	HH	Erst mal, äh, im allgemeinen gesagt, das Fernsehen macht viel Familie kaputt, gab‘s ja früher nicht, ich weiß noch wie der erste Detektor aufkam, äh, damals mit Max Schmeling war, da habe ich nur noch Tatschen gehört, gar nichts mehr anderes, eh man den eingestellt hatte, den Detektor, war alles wieder vorbei, nachts aufgestanden …								
1	00:15:40.00	HH	Tja, das hat sich doch, sagen wir auch, in der Ernährungswirtschaft, wenn es früher mal ein Huhn gab, das war höchstens sonntags mal zum Feiertag, und heutzutage werden die Hühner nachgeschmissen.								
1	00:15:48.00	IV	Ja … Dann gab's auch andere Hühner glaube ich früher, ne?								
1	00:15:51.00	HH	Ja, das waren dann große sicherlich.								
1	00:15:53.00	IV	Nicht so kleine.								
1	00:15:53.00	HH	Ja, sicherlich, aber das war schon ein Festessen.								
1	00:15:55.00	HH	Nehmen wir doch mal Ananas, früher wurde scheibenweise Ananas gekauft, vor dem Kriege, und Bananen.								
1	00:16:02.00	HH	Ja, wer konnte sich vorher schon mal ne Ananas leisten, gab‘s gar nicht.								
1	00:16:05.00	HH	(???) beim Essen hatte ja ihren (???) wohl scheibchenweise verkauft.								
1	00:16:10.00	IV	Was war denn so das Alltagsessen bei Ihnen zuhause?								
1	00:16:13.00	HH	Ja, viel durcheinander, ne.								
1	00:16:15.00	HH	Wir hatten ja immer einen Garten, und, äh, da gab’s sehr viel durcheinander.								
1	00:16:22.00	HH	Ja, und meistens war das früher doch so, Samstag gab‘s Hülsenfrüchte.								
1	00:16:27.00	HH	Möchten Sie was trinken?								
1	00:16:29.00	IV	Ach nö, Dankeschön.								
1	00:16:30.00	IV	Coca oder Fanta?								
1	00:16:31.00	IV	Nee danke.								
1	00:16:31.00	HH	Können auch ein Bier trinken, wenn Sie wollen.								
1	00:16:33.00	IV	Nee, erstmal nicht, vielleicht in einer halben Stunde …								
1	00:16:38.00	IV	So, also Eintopf, wo dann verschiedene Dinge da zusammen gekocht wurden?								
1	00:16:43.00	HH	Ja, es wurde viel, sagen wir mal, abends zum Beispiel gab‘s ne große Pfanne Bratkartoffeln mit Eier durchgezogen oder so, dann Salate dazu, das war abends schon Essen, da wurde viel auch so … sagen wir mal … viel selber Heringe eingelegt								
1	00:16:57.00	IV	Ja.								
1	00:16:58.00	IV	Gibt's ja gar nicht mehr.								
1	00:16:59.00	HH	Na eben, Hering gegessen oder Klöße gebacken, Pfannekuchen, Reibekuchen …		Ernährung, Wohnen, Wohnort, Nachbarschaft				87580897#87580898#87580908		
1	00:17:07.00	IV	Aber weniger, viel weniger Fleisch natürlich...								
1	00:17:09.00	HH	Viel weniger Fleisch.								
1	00:17:10.00	HH	Fleisch gab‘s also, sagen wir mal, durcheinander, meistens wurde fetter Speck denn gemacht, also Bauchfleisch, aber nicht wie heutzutage, dass jeder immer jeden Tag Schnitzel oder so, das gab‘s nicht.								
1	00:17:21.00	IV	Mm.								
1	00:17:23.00	IV	Können Sie uns mal das Haus oder die Wohnung, in der Sie aufgewachsen sind in Holsterhausen, so ziemlich genau beschreiben, wie das so aussah?								
1	00:17:32.00	HH	Ja, wir hatten vier Räume …								
1	00:17:36.00	IV	War eine Etagenwohnung?								
1	00:17:37.00	HH	Ja, das war eine Etagenwohnung.								
1	00:17:39.00	HH	Balkon dabei, Badezimmer hatten wir keins, da wurde noch in der großen Volksbadewanne gebadet, oder wir Jungs, wir gingen ja schwimmen, und …								
1	00:17:53.00	HH	ja, da war ne große Küche, die war wenigstens so groß wie hier unser Wohnzimmer, die anderen Zimmer auch, so meistens die Zimmer waren ja früher alle egal groß …								
1	00:18:01.00	IV	Ja.								
1	00:18:07.00	IV	Und einen Garten hatten Sie dabei?								
1	00:18:09.00	HH	Ja, der war nicht am Haus.								
1	00:18:10.00	HH	Wir hatten immer so einen Schrebergarten.								
1	00:18:11.00	IV	Ach so, ja, ne.								
1	00:18:13.00	HH	Wo jetzt die Gruga [Grugahalle = Veranstaltungs-, Messehalle] ist, hatten wir früher einen Schrebergarten.								
1	00:18:16.00	IV	Und da ist man dann halt am Wochenende schon mal hingegangen?								
1	00:18:18.00	HH	Da war man abends oder so zum Beispiel.								
1	00:18:21.00	HH	Ich weiß, in meiner Schulzeit, wenn ich Ferien hatte, habe ich auch mal sechs Wochen in der Gartenlaube geschlafen.								
1	00:18:28.00	IV	Mm …								
1	00:18:34.00	IV	So innerhalb der Familie bei Ihnen, gab‘s da so regelmäßige Aufgaben, die die einzelnen Familienmitglieder hatten, oder einzelne Aufgaben, die Eltern, wer so was gemacht hat.								
1	00:18:47.00	IV	Also wir vermuten, dass das früher ein bisschen anders war als heute, deswegen fragen wir danach.								
1	00:18:51.00	HH	Ja, äh, nicht dass wir Aufgaben hatten.								
1	00:18:55.00	HH	Sicherlich, als ich größer war, musste ich Kohlen aus dem Keller hoch holen, ist klar, das musste die Mutter nicht, äh.								
1	00:19:03.00	HH	Mit vier Kindern, kam immer wieder ein Kind, da musste einer wieder auf den anderen aufpassen, aber nicht so, dass der eine gesagt hat, du spülst heute, du trocknest ab, also das gab es bei uns gar nicht.		Familie, Ernährung, Schule				87580893#87580897#87580903		
1	00:19:13.00	IV	Also das gab‘s nicht so?								
1	00:19:13.00	HH	Nein, nein.								
1	00:19:16.00	IV	Und, ähm, also die Mutter hat dann weit gehend den Haushalt gemacht								
1	00:19:20.00	HH	Ja.								
1	00:19:20.00	IV	… und Kinder und so nach Gusto dann geholfen, oder?								
1	00:19:24.00	HH	Eben, dann musste der mal da, der musste einkaufen gehen, der kriegte einen Zettel mit, dann musste er da kaufen irgendwas und …								
1	00:19:32.00	HH	Die Mutter hat praktisch die Familie großgezogen, und der Vater war zur Arbeit meistens.								
1	00:19:37.00	IV	Der war am Wochenende dann zu sehen, oder abends spät?								
1	00:19:40.00	HH	Abends so natürlich, oder wie gesagt, wenn er Morgenschicht hatte, dann kam er nach dem Mittagessen noch in den Garten rein …								
1	00:19:47.00	HH	Die Mutter hat praktisch die Kinder großgezogen.								
1	00:19:50.00	HH	Die Mutter war auch so der ruhende Pol der Familie bei uns.								
1	00:19:53.00	IV	Mm.								
1	00:19:55.00	IV	Und … ähm … innerhalb der Familie hatten Sie als Kinder dann auch so das meiste, das beste Vertrauensverhältnis dann zur Mutter.								
1	00:20:03.00	IV	Oder …								
1	00:20:03.00	HH	Ja, ich persönlich zur Mutter.								
1	00:20:08.00	HH	Der Vater war immer so ne Respektsperson.								
1	00:20:10.00	HH	Ich kann mich gar nicht entsinnen, dass ich vom Vater mal ne Tracht Prügel gekriegt hätte so.								
1	00:20:14.00	HH	Wenn einer Schläge austeilte, war das meine Mutter, mit einem Kochlöffel, oder so einer (???) früher, kriegte man ein paar rübergezogen.								
1	00:20:22.00	HH	Die Mutter, die hatte das Sagen.								
1	00:20:25.00	IV	Und wenn es größere Probleme oder Streitigkeiten gab, innerhalb der Familie, wie wurden die denn gelöst?								
1	00:20:33.00	HH	Ja, ich glaub, Streitigkeiten gab‘s in der Familie gar nicht.								
1	00:20:37.00	IV	Oder Schwie … oder Streitig … oder Schwierigkeiten, (???) in der schweren Zeit, in den Dreißiger Jahren, zum Beispiel, auch so ….								
1	00:20:41.00	HH	Ich glaub, die schwierigen Sachen, äh, die wurden an uns Kinder gar nicht herangetragen.								
1	00:20:48.00	HH	Das machten die Eltern … äh … alleine.								
1	00:20:51.00	HH	Also wir haben gar nicht gemerkt, dass die Zeiten so schwierig waren.		Wohnen, Familie, Ernährung				87580898#87580893#87580897		
1	00:20:57.00	IV	Gab‘s denn Räume in der Wohnung, die die Kinder nicht betreten durften?								
1	00:21:02.00	HH	Wir durften alle Räume betreten.								
1	00:21:04.00	IV	Zu uns … findet man häufig, dass bestimmte Räume von Kindern früher nicht betreten werden durften.								
1	00:21:10.00	IV	Deswegen fragen wir danach.								
1	00:21:10.00	HH	Das gab‘s bei uns gar nicht.								
1	00:21:11.00	IV	Das gute Wohnzimmer zum Beispiel, das von Kindern nicht betreten werden durfte.								
1	00:21:14.00	HH	Ne, wir machten zum Beispiel im Wohnzimmer machten wir unsere Schulsachen …								
1	00:21:17.00	IV	Ah ja.								
1	00:21:19.00	HH	Aber sonst, da gab‘s kein Tabu								
1	00:21:25.00	IV	Ehm …								
1	00:21:27.00	IV	in der …								
