Band	Timecode	Sprecher	Transkript	Übersetzung	Hauptüberschrift	Zwischenüberschrift	Hauptüberschrift (Übersetzung)	Zwischenüberschrift (Übersetzung)	Registerverknüpfungen	Anmerkungen	Anmerkungen (Übersetzung)
1	00:09:26.00	IP_HG	Bekam auch keine Arbeitslosenunterstützung, weil ich kein halbes Jahr geklebt hatte.								
1	00:09:32.00	IP_HG	Ich habe dann meinem Vater doch zugeredet aufgrund der starken Silikose, die er hatte.								
1	00:09:38.00	IP_HG	Da bekam mein Vater zu der / 260 Mark Rente.								
1	00:09:41.00	IP_HG	Das war also sehr wenig für einen dreiköpfigen Haushalt.								
1	00:09:45.00	IP_HG	Das wir also damals so recht und schlecht uns über die Runden gebracht haben.								
1	00:09:50.00	IP_HG	Ich sah dann also keine Möglichkeit im Beruf weiter unterzukommen.								
1	00:09:54.00	IP_HG	Bin dann in den Tiefbau gegangen, neun Monate, hab also artfremde Arbeiten dort durchgeführt, war aber gezwungen, um finanziell beizutragen, dass unsere Familie also den Kopf über Wasser hielt.								
1	00:10:09.00	IP_HG	Hab das neun Monate lang gemacht und fand dann also die Möglichkeit in die Firma Krupp einzutreten, bei der ich also heute im 30. Jahr noch beschäftigt bin.								
1	00:10:23.00	IP_HG	Ja, dann hat mich also mein weiterer Lebensweg und meine Einstellung zum Leben und zur Gesellschaftsordnung, im Wesentlichen die Industriegewerkschaft Metall geprägt.								
1	00:10:37.00	IP_HG	Ich bin dann auch 1951 bei Eintritt der IG Metall, bei Krupp auch in die IG Metall eingetreten.								
1	00:10:46.00	INT_AVP	Wir unterbrechen mal.								
1	00:10:48.00	IP_HG	Ja habe mich also, habe dort die Möglichkeiten wahrgenommen, mich weiterzubilden.								
1	00:10:55.00	IP_HG	Ich habe also dann das Interesse gefunden, nämlich die Arbeitnehmer in der damaligen schlechten Zeit vertreten zu können.		Betriebsrat, Gewerkschaften, Politik, Parteien, Arbeit, Repression				87580899#87580900#87580926		
1	00:11:04.00	IP_HG	Ich habe das Glück gehabt im Folgejahr, also 1952, hier als Jugendvertreter gewählt zu werden.								
1	00:11:12.00	IP_HG	Das habe ich gemacht bis Mai 1957, also 5 Jahre.								
1	00:11:18.00	IP_HG	Habe dann für den Betriebsrat kandidiert, mittlerweile 26 Jahre alt.								
1	00:11:23.00	IP_HG	Hab' auf Anhieb auch diese Wahl gewonnen und bin also ununterbrochen, wenn Sie so sehen wollen, seit 1952 Arbeitnehmervertreter hier in diesem Laden.								
1	00:11:36.00	IP_HG	Seit 1966 Betriebsratsvorsitzender.								
1	00:11:40.00	IP_HG	Und in all den Jahren habe ich die Möglichkeiten wahrgenommen, nämlich das Bildungsangebot unserer Organisation, und habe in der Zeit 28 Internatslehrgänge besucht.								
1	00:11:53.00	IP_HG	Wenn ich die also addiere, zeitlich addiere, dann kommen insgesamt 19 Monate heraus.								
1	00:12:03.00	IP_HG	Und seit 1973 bin ich selbst in der Erwachsenenbildung unserer Organisation tätig.								
1	00:12:10.00	IP_HG	Ich führe also selbstständig Lehrgänge auf den verschiedensten Gebieten durch.								
1	00:12:15.00	IP_HG	Das hat mir also bis heute sehr viel Spaß gemacht und ich glaube die stetige Wiederwahl mit immer wachsendem Stimmenanteil hat eigentlich auch meine objektive Einstellung dazu und auch meine Intensität in der Arbeitnehmervertretung eben dadurch gezeigt, dass ich also in Mehrheit immer wieder gewählt worden bin.								
1	00:12:38.00	IP_HG	1959 bin ich dann in die sozialdemokratische Partei eingetreten Ich habe anfangs schon erwähnt, dass ich also aus einem stark interessiertem, aus einer stark interessierten SPD-Familie stamme.								
1	00:12:54.00	IP_HG	Bin dann also auch 1951 in die SPD eingetreten.								
1	00:12:58.00	IP_HG	Man hat auch hier versucht (-)								
1	00:12:59.00	INT_AVP	51?								
1	00:12:59.00	IP_HG	Äh, 59.								
1	00:13:01.00	IP_HG	Man hat also auch hier versucht mich aktiv einzuschalten, aber ich war 1959 also schon zu stark interessiert für die Industriegewerkschaft Metall, für meine Gewerkschaft.								
1	00:13:11.00	IP_HG	Und ich muss auch offen bekennen, ich bin also Mitglied der SPD geworden, um meine gewerkschaftlichen Interessen und Ideen in die Partei reinzutragen und nicht umgekehrt.								
1	00:13:24.00	IP_HG	Ja, dann habe ich also hier während der Zeit meiner Arbeitnehmervertretung auch schlechte Zeiten mitgemacht.								
1	00:13:33.00	IP_HG	In der Firma in der ich hier beschäftigt bin wurde also 1966 eine Teilstilllegung durchgeführt.								
1	00:13:42.00	IP_HG	Ich war gerader junger Betriebsratsvorsitzender.								
1	00:13:46.00	IP_HG	Die Belegschaft wurde von 950 auf 250 abhängige Beschäftigte reduziert Die Gesetze waren noch nicht so weit fortgeschritten wie wir sie im Augenblick haben.								
1	00:14:04.00	IP_HG	Wir hatten noch keine Möglichkeiten - wie es heute ist - Sozialpläne auszuarbeiten ohne darauf einzugehen welche Stellungnahme ich zu Sozialplänen habe.								
1	00:14:18.00	INT_AVP	Erzählen Sie ruhig. (lacht)								
1	00:14:20.00	IP_HG	Gut, wenn ich die Bemerkung hier an dieser Stelle machen darf.								
1	00:14:23.00	IP_HG	Ich habe heute so den Eindruck als wenn eine große Anzahl Arbeitnehmervertreter bloß eine Rangliste aufstellen, um nach außen hin kundzutun, dass der von ihnen abgeschlossene Sozialplan besser sei als die in letzter Zeit abgeschlossenen Sozialpläne in Firma XY.		Betriebsrat, Gewerkschaften, Politik, Diskussion, Unternehmen				87580899#87580894#87580895		
1	00:14:49.00	IP_HG	Ich habe manchmal so das Gefühl, als wenn die echte Arbeitnehmervertretung, nämlich die Arbeitsplätze zu erhalten da zweitrangig wird, das halte ich also nicht für gut.								
1	00:15:02.00	IP_HG	Und wir als Arbeitnehmervertreter hier in diesem Laden sehen die Dinge auch anders, darin sind wir uns also einig.								
1	00:15:13.00	IP_HG	Ich habe also in frühster Jugend mitgemacht wie es um den Kampf der Arbeitsplätze ging.								
1	00:15:19.00	IP_HG	Ich habe also die Gelegenheit gehabt bei einigen Gesetzen mit zu demonstrieren, wenn ich zum Beispiel an die Notstandsgesetze denke.								
1	00:15:29.00	IP_HG	Wenn ich denke, in jungen Jahren, als es darum ging unter Hans Böckler um die Mitbestimmung zu kämpfen.								
1	00:15:38.00	IP_HG	Wenn ich heute sehe, dass unsere Väter sich dafür eingesetzt haben und der Arbeitgeber, wenn ich zur Zeit Mannesmann hier nennen darf, den Abbau der Montanmitbestimmung  vornehme und wie im Augenblick die einzelnen Stellungnahmen der politischen Parteien sind, dann kann es also angst und bange bei uns hervorrufen.								
1	00:15:59.00	IP_HG	Aber ich glaube ich habe doch wohl recht, wenn ich aus meiner Sicht feststelle, dass auch innerhalb meiner Organisation, der IG Metall, der Wille zum politischen Streik wächst.								
1	00:16:12.00	IP_HG	Wenn also hier keine Einigkeit in der Mitbestimmung im Montanmodell , siehe Firma Mannesmann, kommen wird;								
1	00:16:23.00	IP_HG	Denn die Allgemeinbildung auf gewerkschaftspolitischen, sag ich bewusst und auch politischem Leben ist doch bei den jüngeren Menschen und auch bei den Menschen so in meinem Alter gewachsen.								
1	00:16:37.00	IP_HG	Hier möchte ich die Schulungen der Organisationen hervorrufen, dass auch die allgemeinen Einschätzungen über solche gesellschaftspolitischen Dinge doch konkreter geworden sind.								
1	00:16:48.00	IP_HG	Und dass auch der abhängig Beschäftigte mehr die Dinge sieht als vorher.								
1	00:16:59.00	IP_HG	Ich glaube die Zeiten sind im Wesentlichen vorbei, als man vorrangig darauf geachtet hat, mehr Arbeitsstunden zu verfahren, dass die abhängig Beschäftigten heute auch sehen, dass es anders werden muss, auch beim Abschluss von Tarifverträgen, dass es also keine leeren Schlachtworte bleiben: Humanisierung der Arbeitswelt.								
1	00:17:24.00	IP_HG	Und die Demokratisierung hört vor den Werkstoren auf, ist also für meine Begriffe akuter geworden und dazu tragen im Wesentlichen auch die jüngeren Menschen bei.								
1	00:17:37.00	IP_HG	Ich bin also froh, wenn ich so diese Anschauung der Menschen betrachte, dass wir doch Möglichkeiten haben, die gesellschaftspolitischen Dinge in Bezug auf Arbeitnehmervertretung doch aktiv fortführen können.								
1	00:17:57.00	IP_HG	Das zeigt ja auch, dass die Organisationen, zum Beispiel die IG Metall, in den letzten drei Jahren von 2,1 Millionen auf 2,7 Millionen Mitglieder herangewachsen ist.								
1	00:18:11.00	IP_HG	Trotz großer Fluktuationen überschreiten doch die Neuaufnahmen mehr der Austritte.								
1	00:18:19.00	IP_HG	Und ich glaube mit der Spaltung der Gewerkschaften wird wohl wenig sein, auch wenn namenhafte Politiker vor einem Gewerkschaftsstaat warnen.								
1	00:18:32.00	IP_HG	So sehen wir die Dinge auch nicht als Gewerkschaft, sondern wir sehen die Dinge als Hüter der Demokratie.								
1	00:18:38.00	IP_HG	Und ich glaube da wo wir als Gewerkschaften Auftreten haben auch andere Kräfte, ob sie von links oder von rechts kommen, keine Möglichkeit sich zu etablieren.								
1	00:18:51.00	IP_HG	Ja, wenn Sie jetzt vielleicht spezielle Fragen haben.								
1	00:18:57.00	INT_AVP	(räuspert sich) Ja, vielleicht fangen wir nochmal ja, früher an.								
1	00:19:02.00	INT_AVP	Ähm, Könnten Sie vielleicht nochmal erzählen, etwas über Ihr Elternhaus.								
1	00:19:12.00	INT_AVP	Also Sie haben erzählt, dass Ihr Vater (räuspern) Meister war, aber könnten Sie vielleicht noch etwas über ihre Mutter erzählen oder ob Sie Geschwister haben?								
1	00:19:23.00	IP_HG	Ja, ich bin also einziges Kind zuhause.								
1	00:19:27.00	IP_HG	Sie wissen vielleicht nicht, wie es in der damaligen Zeit war.		Wohnen, Familie, Bergbau				87580898#87580893#87580904		
1	00:19:32.00	IP_HG	Meine Eltern, jung verheiratet.								
1	00:19:36.00	IP_HG	Die Wohnungssuche war zu der Zeit sehr groß.								
1	00:19:40.00	INT_AVP	Wann war das jetzt?								
1	00:19:41.00	IP_HG	1930.								
1	00:19:42.00	INT_AVP	Mhm.								
1	00:19:43.00	IP_HG	Mein Vater war gelernter Vorzeichner.								
1	00:19:47.00	IP_HG	Ist dann auch erwerbslos gewesen zu der Zeit.								
1	00:19:54.00	IP_HG	Im Bergbau wurden Arbeitnehmer gesucht.								
1	00:19:58.00	IP_HG	Der Bergbau war also auch noch mit der staatlichen Maßnahme belastet von Ehestandsdarlehen.								
1	00:20:04.00	IP_HG	Mein Vater ging dann also zur Kruppschen Zeche.								
1	00:20:09.00	IP_HG	Bekam sein Ehestandsdarlehen, bekam eine bezugsfertige Neubauwohnung hier in Essen Bergeborbeck, wo ich im Wesentlichen auch groß geworden bin.								
1	00:20:19.00	IP_HG	Nur späterhin war also für meinen Vater kaum noch eine Möglichkeit dort zu gehen, auf der Zeche.								
1	00:20:26.00	IP_HG	33 ging es dann also los, mit dem unheilsamen System.								
1	00:20:31.00	IP_HG	Späterhin hatte er dann auch keine Möglichkeiten mehr, er wurde zwar kein Soldat, weil er also hier Soldat der Heimat wurde in der Produktion, in der Kohleproduktion.								
1	00:20:41.00	IP_HG	Wir hatten also eine zweieinhalbräumige Wohnung.								
1	00:20:46.00	IP_HG	Ich kann mich entsinnen, dass ich im elterlichen Schlafzimmer äh, mitschlafen musste.								
1	00:20:52.00	IP_HG	Waren also keine Möglichkeiten da eine größere Wohnung zu beziehen, auch vom Einkommen her wäre das nicht möglich gewesen.								
1	00:21:00.00	IP_HG	Teilweise ist meine Mutter mitarbeiten gegangen.								
1	00:21:07.00	IP_HG	Ja dann die unheilsame Zeit.								
1	00:21:09.00	INT_AVP	Ihre Mutter äh, wissen Sie wie sie sich und wann sie sich kennengelernt haben, Ihre Eltern?								
1	00:21:15.00	IP_HG	Ja, meine Eltern haben sich kennengelernt in 1930. Mütterlich …								
1	00:21:22.00	INT_AVP	Arbeitete Ihre Mutter da?								
1	00:21:24.00	IP_HG	Nein, da arbeitete meine Mutter nicht.								
1	00:21:27.00	IP_HG	Meine Mutter musste also mehr oder weniger im Elternhaus mitarbeiten, zu der Zeit elf lebende Kinder.								
1	00:21:35.00	IP_HG	Väterlicherseits neun lebende Kinder.		Familie, Arbeit, Verwaltung, Ernährung				87580893#87580909#87580897		
1	00:21:43.00	INT_AVP	Große Familie.								
1	00:21:44.00	IP_HG	Ja, väterlicher- und mütterlicherseits große Familie, im Gegensatz zu meiner.								
1	00:21:49.00	IP_HG	Ich weiß nicht, ob die Eltern gelernt haben.								
1	00:21:52.00	INT_AVP	(lacht)								
1	00:21:53.00	IP_HG	Ich will's, ich will es hoffen.								
1	00:21:55.00	IP_HG	Das hat ja auch die Zeit wohl gezeigt.								
1	00:21:58.00	IP_HG	Ja dann kann ich mich ganz gut entsinnen, dass mein Vater, wie ich eingangs schon gesagt habe, von der 40-Stunden-Woche geträumt hat, die wir also heute haben.								
1	00:22:10.00	IP_HG	Ich kann mich entsinnen, dass mein Vater fünf, sechs, sieben Mal in der Woche zwölf Stunden verfahren hat, vor Kohle, als Hauer.								
1	00:22:22.00	IP_HG	Dass mein Vater keine Möglichkeiten hatte damals Hamstern zu gehen, sie kennen den Begriff hamstern?								
1	00:22:29.00	IP_HG	Wo also meine Eltern, dass was sie sich einst mal an Hausrat angeschafft haben, mehr oder weniger getauscht haben im Tauschhandel: Kaffeeservice, Essservice, Garderobe.								
1	00:22:41.00	INT_AVP	Wann war das?								
1	00:22:42.00	IP_HG	Das war in den Jahren 42, 43, 44.								
1	00:22:51.00	IP_HG	Sodass was sie sich mal einst sauer verdient haben, dann lediglich für Nahrungsmittel in Kompensationsgeschäften eingetauscht worden war, damit sie also, damit wir also satt zu essen hatten und so recht und schlecht über die Runden kamen.								
1	00:23:09.00	IP_HG	Ja, dann wurden…								
1	00:23:09.00	INT_AVP	Können Sie mir noch sagen aus welchen Familien Ihre Eltern stammen?								
1	00:23:14.00	INT_AVP	Waren sie alle beide aus dem Ruhrgebiet –stammten sie gebürtig oder sind sie aus der Mitte gekommen?								
1	00:23:18.00	IP_HG	Ja, mütterlicherseits sind die Großeltern gebürtig auch aus Essen wie ich.								
1	00:23:25.00	IP_HG	Mein Großvater väterlicherseits kam aus Kassel, ein geborener Hesse.								
1	00:23:32.00	IP_HG	In jungen Jahren als Vollwaise nach Essen.								
1	00:23:40.00	IP_HG	Hat dann auch hier geheiratet.								
1	00:23:43.00	IP_HG	Ist dann bei der Firma Krupp eingetreten.								
1	00:23:49.00	IP_HG	War dort 31 Jahre beschäftigt.								
1	00:23:57.00	IP_HG	Wobei ich bei dieser Gelegenheit bemerken möchte, dass väterlicherseits alle Verwandten ob Cousins oder Onkel und auch mein Vater alle bei der Firma Krupp beschäftigt waren und noch sind.								
1	00:24:16.00	IP_HG	Früher war das so, dass also die Gebundenheit als Arbeitnehmer an die Firma Krupp so eine Besserstellung war im Volksmund und dass also bei Krupp heute noch gefragt wird bei der Einstellung im Vordruck:								
1	00:24:35.00	IP_HG	Waren Ihre Verwandten auch bei Krupp beschäftigt?		Familie, Arbeit, Verwaltung, Politik, Diskussion				87580893#87580909#87580894		
1	00:24:38.00	IP_HG	Wenn ja, wie lange, wo?'								
1	00:24:43.00	IP_HG	Ich sehe die Dinge so ein bisschen anders.								
1	00:24:45.00	IP_HG	Ich bin also kein Traditionsmensch, dass ich mich jetzt also hier hervorheben kann, dreißig Jahre bei der Firma Krupp beschäftigt zu sein.								
1	00:24:51.00	IP_HG	Ich sehe auch hier keine Vorteile auf diesem ganzen Sektor des sozialen Klimbims, ich behaupte also nach wie vor, das ist vorenthaltener Lohn und Gehalt								
1	00:25:04.00	IP_HG	Aber da möchte ich im Einzelnen, wenn es natürlich gefragt wird, auch darauf eingehen.								
1	00:25:10.00	IP_HG	Denn es ist also damit schon ausgeschieden, dass solche Firmen also solche Dinge für sich ausschlachten, weil die Gesetze zwischenzeitlich auch andere Aussagen machen in Bezug auf Altersversorgung, in Bezug auf Sicherung der Arbeitsplätze, in Bezug auf Tarifverträge für Lohn- und Gehaltssicherungen.								
1	00:25:33.00	IP_HG	Sodass es also nicht mehr so ist wie ich mich entsinnen kann, mein Großvater väterlicherseits, der also sein Geld bei Krupp bekam und sein Geld bei Krupp wieder hinbrachte, seinen Hausstand also in Kruppschen Geschäften wiederkaufte.								
1	00:25:51.00	IP_HG	Der also auch zu der Zeit 12, 13, 14 Stunden gearbeitet hat.								
1	00:25:56.00	IP_HG	Und wenn er dann im ganzen Jahr nicht zu spät gekommen ist, dann bekam er zu Weihnachten drei Mark.								
1	00:26:03.00	IP_HG	Dann fuhr also hier durch diese Kruppschen Kolonien mittags ein Wagen.								
1	00:26:11.00	IP_HG	Ich glaube die Beschäftigten nannten ihn den Esel.								
1	00:26:14.00	IP_HG	Dann brachte meine Großmutter den Henkelmann darein und der wurde also dann zum Werk gefahren, sodass also wohl die Zeit besser zu überbrücken sei wenn er 12, 13, 14, 15 Stunden von zuhause weg war.								
1	00:26:27.00	IP_HG	Damals war also wirklich nur arbeiten und schlafen, deswegen also auch kein Anteil der Menschen zu der Zeit an kulturellen, an politischen Dingen.								
1	00:26:35.00	IP_HG	Da war also doch mehr oder weniger der Desinteresse vorhanden und ich meine auch unter anderem, was ich vorhin gesagt habe, dass also wesentlich gewachsen ist, dass wir heute doch interessierter, dass die Leute heute doch interessierter an all diesen Dingen sind.								
1	00:26:48.00	IP_HG	Ja, 87-jährig mein Großvater väterlicherseits gestorben.								
1	00:26:52.00	IP_HG	Mütterlicherseits die Großeltern sind auch sehr alt geworden.								
1	00:26:58.00	IP_HG	Großvater mütterlicherseits auch erst im Bergbau beschäftigt gewesen.								
1	00:27:04.00	IP_HG	Dann später die Dienste der Stadt Essen als Gärtner.								
